국가,국가코드,확진자,치료중,위중증,사망자,완치,치명(%),완치(%),발생률,인구수,Countries and regions,Doses administered,Enough for % of people,given 1+ dose,fully vaccinated,Daily rate of doses administered
남수단,🇸🇸,11926,423,4,128,11375,1.1,95.4,1067,11193725,South Sudan,100621,0.4,0.5,0.2,2272
적도 기니,🇬🇶,11806,1439,1,142,10225,1.2,86.6,8415,1402985,Equatorial Guinea,387510,14.2,16.4,12.1,2190
아이슬란드,🇮🇸,11632,348,3,33,11251,0.3,96.7,34087,341243,Iceland,551110,77.2,78.8,77.2,750
중앙아프리카 공화국,🇨🇫,11371,4412,2,100,6859,0.9,60.3,2354,4829767,Central African Republic,185678,2,3,0.2,7109
세인트루시아,🇱🇨,11144,2157,15,185,8802,1.7,79,60688,183627,St. Lucia,74999,20.8,24.7,16.9,437
감비아,🇬🇲,9911,28,3,335,9548,3.4,96.3,4109,2416668,Gambia,201835,4.3,8.4,7.1,4278
예멘,🇾🇪,8891,1709,23,1682,5500,18.9,61.9,300,29825964,Yemen,322934,0.5,1,0.1,244
바베이도스,🇧🇧,7401,974,,64,6363,0.9,86,26363,287375,Barbados,230848,40.2,45.3,35.1,1288
맨섬,🇮🇲,7364,523,1,51,6790,0.7,92.2,87343,85033,Isle of Man,129989,76.5,77,75.1,153
브루나이,🇧🇳,6540,2177,34,37,4326,0.6,66.1,15315,437479,Brunei,432882,47.1,57.2,36.9,6583
시에라리온,🇸🇱,6393,1892,,121,4380,1.9,68.5,801,7976983,Sierra Leone,221110,1.4,2.3,0.5,2296
기니비사우,🇬🇼,6099,681,4,135,5283,2.2,86.6,3099,1968001,Guinea-Bissau,94715,2.7,4.9,0.4,3252
니제르,🇳🇪,5974,50,,201,5723,3.4,95.8,247,24206644,Niger,621853,1.3,1.7,0.4,9294
라이베리아,🇱🇷,5782,41,2,283,5458,4.9,94.4,1143,5057681,Liberia,248645,2.7,2.3,0.6,8818
지브롤터,🇬🇮,5514,65,2,97,5352,1.8,97.1,163753,33691,Gibraltar,79335,116.7,117.3,116.1,14
산마리노,🇸🇲,5419,60,2,90,5269,1.7,97.2,159706,33931,San Marino,47084,69.2,71.8,71.8,16
차드,🇹🇩,5031,7,,174,4850,3.5,96.4,306,16425864,Chad,123052,0.4,0.6,0.2,4586
버뮤다,🇧🇲,4982,1612,1,52,3318,1,66.6,79996,62278,Bermuda,86676,68.8,69.6,68,60
그레나다,🇬🇩,4829,2034,,116,2679,2.4,55.5,43742,112523,Grenada,51610,23.7,28.2,19.1,496
